2016-A-116,SRDS,2016,A,nan,nan,4606.0
2016-A-117,STACS,2016,A,nan,nan,4613.0
2016-A-118,SYSTOR,2016,A,nan,nan,-1
2016-A-119,TACAS,2016,A,nan,nan,4613.0
2016-A-120,UAI,2016,A,nan,nan,4602.0
2016-A-121,UbiComp,2016,A,nan,nan,4608.0
2016-A-122,VEE,2016,A,nan,nan,4606.0
2016-A-123,IEEE VIS,2016,A,nan,nan,4608.0
2016-A-124,VMCAI,2016,A,nan,nan,4612.0
2016-A-125,VR,2016,A,nan,nan,4607.0
2016-A-126,VRST,2016,A,nan,nan,4607.0
2016-A-127,WADS,2016,A,nan,nan,4613.0
2016-A-128,WHC/HS,2016,A,nan,nan,-1
2016-A-129,WoWMoM,2016,A,nan,nan,4606.0
2016-A-130,WSDM,2016,A,nan,nan,4605.0
2016-A-131,CVPR(spotlight/poster),2016,A,nan,nan,-1
2016-A-132,ECCV(spotlight/poster),2016,A,nan,nan,-1
2016-A-133,ICCV(spotlight/poster),2016,A,nan,nan,-1
2016-A-134,NeurIPS(spotlight/poster),2016,A,nan,nan,-1
