2100,Multiple Objective Decision Support System Conference,MODSS,CORE2013,C,No,,,
2101,IASTED International Conference on Modelling and Simulation,MS,CORE2013,C,Yes,,,
2104,"Net Object Days (Includings MATES, ENASE etc.)",MATES ENASE,CORE2013,A,No,,,
2106,"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,CORE2013,C,Yes,,,
2107,Open and Distance Learning Association of Australia Bienniel Forum,ODLA,CORE2013,Australasian,Yes,,,
2108,"Joint OECC, IOCC & ACOFT",OESS/IOCC/ACOFT,CORE2013,C,No,,,
2109,International Conference on Object Oriented Information Systems,OOIS,CORE2013,C,No,,,
2111,PACES & ICIL,P&I,CORE2013,C,No,,,
2112,Post-Graduate ADFA Conference on Computer Science,PACCS,CORE2013,L,No,,,
2113,IASTED International Conference on Parallel and Distributed Computing and Networks,PDCN,CORE2013,C,Yes,,,
2114,IASTED International Conference on Parallel and Distributed Computing and Systems,PDCS,CORE2013,C,Yes,,,
2115,Joint AUPEC & EECON,PEC&CON,CORE2013,C,No,,,
2117,International Symposium on Physical Design,PHYSDES,CORE2013,C,No,,,
2118,Symposium on Programming Language Implementation and Logic Programming,PLILP,CORE2013,B,No,,,
2122,IASTED International Conference on Robotics and Manufacturing,RM,CORE2013,C,Yes,,,
2125,IASTED International Conference on Software Engineering,SE,CORE2013,C,Yes,,,
2126,IASTED International Conference on Software Engineering and Applications,SEA,CORE2013,C,Yes,,,
2130,International Conference on Software Engineering: Education and Practice,SEEP,CORE2013,B,No,,,
2131,International NZ Conference on Computer-Human Interaction,SIGCHI-NZ,CORE2013,"Australasian (missed 2013, changed 2019)",No,,,
2133,IASTED International Conference on Signal and Image Processing,SIP,CORE2013,C,Yes,,,
2134,Society for Information Technology and Teacher Education Conference,SITE,CORE2013,C,No,,,
2137,ACM Symposium on Software Reusability,SSR,CORE2013,A,No,,,
2140,Theory and Applications of Knowledge MAnagement,TAKMA,CORE2013,C,No,,,
2141,International Conference on Technology Education,TE,CORE2013,C,No,,,
2145,University of Western Australia Computer Science Research Conference,UWACS,CORE2013,Australasian,Yes,,,
2147,"IASTED International Conference on Visualization, Imaging, and Image Processing",VIIP,CORE2013,C,Yes,,,
2149,International Workshop on Artificial Intelligence and Statistics,WAIS,CORE2013,B,No,,,
2150,World Conference on Computers in Education,WCCE,CORE2013,C,No,,,
2151,World Congress on Systems Simulation,WCSS,CORE2013,B,No,,,
2152,Workshop on Distributed Algorithms (DISC since 1998),WDAG,CORE2013,B,No,,,
2154,International Computer Symposium Workshop,WICS,CORE2013,C,No,,,
2155,"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,CORE2013,C,No,,,
2158,"Informatics in Education (journal, congress, symposium, etc all under this name - can't rank)",,CORE2013,C,No,,,
10,ACM Annual Computer Science Conference,CSC,CORE2013,C,No,08,,
21,ACM Information Technology Education,SIGITE,CORE2013,C,No,08,,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2013,C,No,08,12,
145,Applied Computing Conference,ACC,CORE2013,C,No,08,,
166,Asian Computing Science Conference,ASIAN,CORE2013,B,No,08,,
207,Australasian Computer Science Conference,ACSC,CORE2013,Australasian,Yes,08,,
336,Computer Science Research Conference,CSRC,CORE2013,C,No,08,,
380,"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,CORE2013,C,No,08,09,
407,Current Trends in Theory and Practice of Computer Science,SOFSEM,CORE2013,B,No,08,,
470,European Computing Conference,ECC,CORE2013,C,No,08,,
556,Genetic and Evolutionary Computations,GECCO,CORE2013,A,No,08,09,
637,IEEE International Conference on Computer and Information Technology,CIT,CORE2013,C,No,08,,
686,IEEE International Multioptic Conference,INMIC,CORE2013,C,No,08,,
744,IEEE Symposium on Computers and Communications,ISCC,CORE2013,B,No,08,,
754,IEEE Systems and Information Engineering Design Symposium,SIEDS,CORE2013,C,No,08,,
782,IEEE/ACIS International Conference on Computer and Information Science,ICIS,CORE2013,C,No,08,,
799,IFIP Congress (Information Processing),Information Processing,CORE2013,C,No,08,,
869,International Computer Science Conference,ICSC,CORE2013,B,No,08,,
965,International Conference on Computers and their Applications,CATA,CORE2013,C,No,08,,
1036,International Conference on Frontiers of Information Technology,FIT,CORE2013,C,No,08,,
1066,International Conference on Information and Communication Technologies and Development,ICTD,CORE2013,C,No,08,,
1069,International Conference on Information and Communications Technology,ICICT,CORE2013,C,No,08,,
1070,International Conference on Information and Emerging Technologies,ICIET,CORE2013,C,No,08,,
1083,International Conference on Information Technology and Applications,ICITA,CORE2013,C,No,08,,
1084,International Conference on Information Technology Interfaces,ITI,CORE2013,C,No,08,,
1093,International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,CORE2013,C,No,08,,
1103,International Conference on International and Communication Technologies,ICICTE,CORE2013,C,No,08,,
1187,International Conference on Recent Advances in Information Technology and Applications,RAITA,CORE2013,C,No,08,,
1214,"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,CORE2013,C,No,08,,
1316,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,CORE2013,C,No,08,10,
1387,International Symposium on Information and Communication Technologies,ISICT,CORE2013,C,No,08,,
1556,ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,CORE2013,C,No,08,,
1611,Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),ENC,CORE2013,C,No,08,,
1705,Richard Tapia Celebration of Diversity in Computing Conference,Tapia,CORE2013,C,No,08,,
1838,Usenix Annual Technical Conference,USENIX,CORE2013,A,No,08,,
1844,USENIX Workshop on Electronic Commerce,USENIX EC,CORE2013,C,No,08,,
1940,World Computer Congress,WCC,CORE2013,C,No,08,,
1943,"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,CORE2013,C,No,08,,
4,3-D Digital Imaging and Modelling,3DIM,CORE2013,C,No,0801,,
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2013,A*,No,0801,,
42,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,CORE2013,B,No,0801,,
67,ACM Virtual Reality Software and Technology,VRST,CORE2013,A,Yes,0801,,
73,ACM Workshop on Secure Web Services,SWS,CORE2013,C,No,0801,,
81,ACM/SPIE Multimedia Computing and Networking,MMCN,CORE2013,A,No,0801,,
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2013,A*,Yes,0801,,
89,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2013,B,Yes,0801,,
90,Advanced Course on Artificial Intelligence,ACAI,CORE2013,C,No,0801,,
93,Advanced Visual Interfaces,AVI,CORE2013,B,No,0801,,
96,Advances in Intelligent Systems,AIS,CORE2013,C,No,0801,,
100,Agent-Oriented Information Systems Workshop,AOIS,CORE2013,B,No,0801,,
110,Ambient Intelligence Developments,Aml.d,CORE2013,C,No,0801,,
120,Annual Conference of the Cognitive Science Society,CogSci,CORE2013,A,No,0801,,
123,Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2013,A,No,0801,,
124,Annual Conference on Computational Learning Theory,COLT,CORE2013,A*,No,0801,,
125,Annual Conference on Evolutionary Programming,EP,CORE2013,C,No,0801,,
132,Annual International Workshop on Presence,ISPR,CORE2013,B,No,0801,,
143,Applications of Information Visualization,IV-App,CORE2013,C,No,0801,,
146,Applied Perception in Graphics and Visualization,APGV,CORE2013,C,No,0801,,
148,Argentine Symposium on Artificial Intelligence,ASAI,CORE2013,C,No,0801,,
149,Artificial Intelligence in Knowledge Management,AIKM,CORE2013,C,No,0801,,
150,Artificial Intelligence in Medicine,AIIM,CORE2013,A,No,0801,,
151,Artificial Intelligence in Medicine in Europe,AIME,CORE2013,A,Yes,0801,,
152,Artificial Neural Networks in Engineering Conference,ANNIE,CORE2013,B,No,0801,,
167,Asian Conference on Computer Vision,ACCV,CORE2013,B,No,0801,,
177,Asia-Pacific Conference on Complex Systems,Complex,CORE2013,C,No,0801,,
181,Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,CORE2013,B,No,0801,,
196,Association of Computational Linguistics,ACL,CORE2013,A*,No,0801,,
203,Australasian Cognitive Science Society Conference,AuCSS,CORE2013,Australasian,Yes,0801,,
216,Australasian Conference on Robotics and Automation,ACRA,CORE2013,Australasian,Yes,0801,,
